time,book,symbol,module,side,entry,exit,qty,notional,leverage,margin,pnl,fees,funding,bars,reason,cash_after
2026-08-29 15:00:00+00:00,B_aggressive,ZEC-USDT-SWAP,breakout,long,552.50272,834.338462,0.2517611119248738,139.1,6.5,21.2374,70.8503,0.1746,0.5686,240,time stop,206.1042
2026-08-29 15:00:00+00:00,C_degen,ZEC-USDT-SWAP,breakout,long,552.502862,834.338248,0.29823473885247836,164.78,6.5,24.622,83.9287,0.2068,0.6736,240,time stop,379.6377
2026-08-29 15:00:00+00:00,E_optimal,ZEC-USDT-SWAP,breakout,long,552.503223,834.337699,0.41716166978486796,230.48,6.5,34.4366,117.3965,0.2893,0.9422,240,time stop,314.3895
2026-08-29 16:00:00+00:00,A_conservative,HYPE-USDT-SWAP,breakout,long,62.150044,82.935084,0.5365291142701657,33.35,7.2,4.6543,11.1295,0.0389,0.1112,240,time stop,118.2392
2026-08-29 16:00:00+00:00,B_aggressive,HYPE-USDT-SWAP,breakout,long,62.15012,82.934983,2.5024755451356673,155.53,7.2,21.7084,51.9098,0.1815,0.5187,240,time stop,279.7225
2026-08-29 16:00:00+00:00,E_optimal,HYPE-USDT-SWAP,breakout,long,62.150041,82.935089,0.45310921145062166,28.16,7.2,3.8446,9.3991,0.0329,0.0939,240,time stop,327.6332
2026-08-31 00:00:00+00:00,D_max_leverage,BTC-USDT-SWAP,breakout,long,73838.074906,77896.693595,0.015843441668976648,1169.85,100.0,9.5176,63.6854,1.202,2.7658,240,time stop,73.203
2026-08-31 03:00:00+00:00,A_conservative,PUMP-USDT-SWAP,breakout,short,0.004241,,5015.201949763004,21.27,3.7,5.7931,,0.0106,0.0,0,OPEN donchian break er=0.54 ext=0.61atr,112.4354
2026-08-31 03:00:00+00:00,B_aggressive,PUMP-USDT-SWAP,breakout,short,0.004241,,47458.63467308368,201.29,3.7,54.8201,,0.1006,0.0,0,OPEN donchian break er=0.54 ext=0.61atr,224.8018
2026-08-31 03:00:00+00:00,C_degen,PUMP-USDT-SWAP,breakout,short,0.004241,,161027.19999050177,682.98,3.7,186.0039,,0.3415,0.0,0,OPEN donchian break er=0.54 ext=0.61atr,193.2924
2026-08-31 03:00:00+00:00,E_optimal,PUMP-USDT-SWAP,breakout,short,0.004241,,83381.09049348944,353.65,3.7,96.3145,,0.1768,0.0,0,OPEN donchian break er=0.54 ext=0.61atr,231.1419
